  0.157079503      0.899999976      0.987688363    
  0.314159006      0.800000012      0.951056600    
  0.471238494      0.699999988      0.891006708    
  0.628318012      0.599999964      0.809017301    
  0.785397530      0.499999911      0.707107246    
  0.942476988      0.399999887      0.587785900    
   1.09955657      0.299999923      0.453991264    
   1.25663602      0.199999943      0.309017986    
   1.41371548       9.99999419E-02  0.156435668    
   1.57079506      -4.74127830E-08   1.26759085E-06
   1.72787452     -0.100000031     -0.156433046    
   1.88495398     -0.200000018     -0.309015453    
   2.04203343     -0.300000012     -0.453988910    
   2.19911313     -0.400000036     -0.587783873    
   2.35619259     -0.500000000     -0.707105458    
   2.51327205     -0.599999964     -0.809015751    
   2.67035151     -0.699999988     -0.891005516    
   2.82743096     -0.800000012     -0.951055765    
   2.98451066     -0.899999976     -0.987687945    
